id,title,description,availability,condition,price,link,image_link,brand,product_type
1kg-LPP-Extreme,"STEJAR PASTA TERMICA 1 KG (1,000 GRAMOS) LPP-EXTREME INCLUYE ESPATULA Y TOALLITA LIMPIADORA","Pasta térmica de alto rendimiento de la línea LPP-Extreme, con conductividad térmica de 15.7 W/mK y sin partículas metálicas, por lo que no conduce electricidad ni daña los componentes. Se aplica entre el procesador y el disipador para transferir el calor en CPU, GPU, laptops y consolas como PS3, PS4, PS5, Xbox y Nintendo Switch. Presentación de 1 kg para servicio de alto volumen, con espátula y toallita EXTREME CLEAN incluidas.",out of stock,new,2799.08 MXN,https://catalogo.quantum-imports.com/?sku=1kg-LPP-Extreme,https://catalogo.quantum-imports.com/images/stejar/1kg-lpp-extreme.jpg,STEJAR,PASTA TERMICA DE ALTO RENDIMIENTO
LPP-Extreme-50gr,STEJAR PASTA TERMICA 50 GR LPP-EXTREME INCLUYE ESPATULA Y TOALLITA LIMPIADORA,"Pasta térmica LPP-Extreme de alto rendimiento, con conductividad térmica de 15.7 W/mK y sin partículas metálicas, no conductora de electricidad. Transfiere el calor entre el procesador y el disipador en CPU, GPU, laptops y consolas como PS3, PS4, PS5, Xbox y Nintendo Switch. Presentación de 50 gramos con espátula y toallita EXTREME CLEAN incluidas.",out of stock,new,416.34 MXN,https://catalogo.quantum-imports.com/?sku=LPP-Extreme-50gr,https://catalogo.quantum-imports.com/images/stejar/lpp-extreme-50gr.jpg,STEJAR,PASTA TERMICA DE ALTO RENDIMIENTO
LPP-Extreme-30gr,STEJAR PASTA TERMICA 30GR LPP-EXTREME INCLUYE ESPATULA Y TOALLITA LIMPIADORA,"Pasta térmica LPP-Extreme de alto rendimiento, con conductividad térmica de 15.7 W/mK y sin partículas metálicas, no conductora de electricidad. Transfiere el calor entre el procesador y el disipador en CPU, GPU, laptops y consolas como PS3, PS4, PS5, Xbox y Nintendo Switch. Presentación de 30 gramos con espátula y toallita EXTREME CLEAN incluidas.",in stock,new,333.91 MXN,https://catalogo.quantum-imports.com/?sku=LPP-Extreme-30gr,https://catalogo.quantum-imports.com/images/stejar/lpp-extreme-30gr.jpg?v3,STEJAR,PASTA TERMICA DE ALTO RENDIMIENTO
LPP-Extreme-10gr,STEJAR PASTA TERMICA 10 GR LPP-EXTREME INCLUYE ESPATULA Y TOALLITA LIMPIADORA,"Pasta térmica LPP-Extreme de alto rendimiento, con conductividad térmica de 15.7 W/mK y sin partículas metálicas, no conductora de electricidad. Transfiere el calor entre el procesador y el disipador en CPU, GPU, laptops y consolas como PS3, PS4, PS5, Xbox y Nintendo Switch. Presentación de 10 gramos con espátula y toallita EXTREME CLEAN incluidas.",out of stock,new,283.35 MXN,https://catalogo.quantum-imports.com/?sku=LPP-Extreme-10gr,https://catalogo.quantum-imports.com/images/stejar/lpp-extreme-10gr.jpg?v3,STEJAR,PASTA TERMICA DE ALTO RENDIMIENTO
LPP-Extreme-4gr,"STEJAR PASTA TERMICA 4G 15,7  W M/K  / JERINGA","Pasta térmica LPP-Extreme de alto rendimiento, con conductividad térmica de 15.7 W/mK y sin partículas metálicas, por lo que no conduce electricidad. Transfiere el calor entre el procesador y el disipador en CPU, GPU, laptops y consolas como PS3, PS4, PS5, Xbox y Nintendo Switch. Presentación en jeringa de 4 gramos para aplicación precisa.",in stock,new,149.04 MXN,https://catalogo.quantum-imports.com/?sku=LPP-Extreme-4gr,https://catalogo.quantum-imports.com/images/stejar/lpp-extreme-4gr.jpg,STEJAR,PASTA TERMICA DE ALTO RENDIMIENTO
LPP-Extreme-1gr,"STEJAR PASTA TERMICA 1G 15,7 W M/K / JERINGA","Pasta térmica LPP-Extreme de alto rendimiento, con conductividad térmica de 15.7 W/mK y sin partículas metálicas, por lo que no conduce electricidad. Transfiere el calor entre el procesador y el disipador en CPU, GPU, laptops y consolas como PS3, PS4, PS5, Xbox y Nintendo Switch. Presentación en jeringa de 1 gramo para una sola aplicación.",out of stock,new,85.29 MXN,https://catalogo.quantum-imports.com/?sku=LPP-Extreme-1gr,https://catalogo.quantum-imports.com/images/stejar/lpp-extreme-1gr.jpg,STEJAR,PASTA TERMICA DE ALTO RENDIMIENTO
WVR-DF-120-20-05,STEJAR THERMAL PAD 120X20X0.5MM 12.8 W/MK EXTREME ALTO RENDIMIENTO,"Pad térmico de alto rendimiento con conductividad térmica de 12.8 W/mK, no conductor de electricidad y no tóxico. Medida de 120x20 mm con espesor de 0.5 mm, fácil de cortar e instalar con herramientas de corte estándar. Transfiere el calor entre GPU, VRM, memorias y chipsets sin dañar los materiales.",out of stock,new,113.87 MXN,https://catalogo.quantum-imports.com/?sku=WVR-DF-120-20-05,https://catalogo.quantum-imports.com/images/stejar/wvr-df-120-20-05.jpg,STEJAR,PAD TERMICO
WVR-DF-120-20-10,STEJAR THERMAL PAD 120X20X1.0MM 12.8 W/MK EXTREME ALTO RENDIMIENTO,"Pad térmico de alto rendimiento con conductividad térmica de 12.8 W/mK, no conductor de electricidad y no tóxico. Medida de 120x20 mm con espesor de 1.0 mm, fácil de cortar e instalar con herramientas de corte estándar. Transfiere el calor entre GPU, VRM, memorias y chipsets sin dañar los materiales.",out of stock,new,132.33 MXN,https://catalogo.quantum-imports.com/?sku=WVR-DF-120-20-10,https://catalogo.quantum-imports.com/images/stejar/wvr-df-120-20-10.jpg,STEJAR,PAD TERMICO
WVR-DF-120-20-15,STEJAR THERMAL PAD 120X20X1.5MM 12.8 W/MK EXTREME ALTO RENDIMIENTO,"Pad térmico de alto rendimiento con conductividad térmica de 12.8 W/mK, no conductor de electricidad y no tóxico. Medida de 120x20 mm con espesor de 1.5 mm, fácil de cortar e instalar con herramientas de corte estándar. Transfiere el calor entre GPU, VRM, memorias y chipsets sin dañar los materiales.",out of stock,new,150.36 MXN,https://catalogo.quantum-imports.com/?sku=WVR-DF-120-20-15,https://catalogo.quantum-imports.com/images/stejar/wvr-df-120-20-15.jpg,STEJAR,PAD TERMICO
WVR-DF-120-20-20,STEJAR THERMAL PAD 120X20X2.0MM 12.8 W/MK EXTREME ALTO RENDIMIENTO,"Pad térmico de alto rendimiento con conductividad térmica de 12.8 W/mK, no conductor de electricidad y no tóxico. Medida de 120x20 mm con espesor de 2.0 mm, fácil de cortar e instalar con herramientas de corte estándar. Transfiere el calor entre GPU, VRM, memorias y chipsets sin dañar los materiales.",out of stock,new,172.78 MXN,https://catalogo.quantum-imports.com/?sku=WVR-DF-120-20-20,https://catalogo.quantum-imports.com/images/stejar/wvr-df-120-20-20.jpg,STEJAR,PAD TERMICO
